id,name,specializations,methods,consultation_style,experience_years,verified_consultations_count,repeat_client_pct,completion_rate_pct,verification_docs_present,languages,price_min,price_max,availability_stub,sample_insight_snippet
a36,Luke Carter,"Career|Leadership Transition","Modern|Transit",Strategic,12,1250,83,94,TRUE,English,75,190,"2026-08-11T11:00Z|2026-08-13T09:00Z","Leadership role timing and strategic repositioning."
a37,Amrita Sen,"Spiritual|Remedies|Daily Practice","Vedic|Remedies",Traditional,15,1810,87,95,TRUE,"English|Bengali",85,220,"2026-08-10T08:00Z|2026-08-12T10:00Z","Practical remedial plan tailored to daily schedule."
a38,Peter Novak,"Business|Partnerships","Transit|Financial",Strategic,11,980,77,91,TRUE,"English|Czech",60,160,"2026-08-09T10:00Z|2026-08-13T14:00Z","Partnership risk windows and negotiation timing."
a39,Hannah Lee,"Education|Scholarship Guidance","Transit|Western",Analytical,6,340,60,86,FALSE,"English|Korean",35,95,"2026-08-12T09:00Z|2026-08-14T10:00Z","Timing windows for scholarship applications and interview prep."
a40,Diego Ramos,"Career|Freelance|Gig Economy","Modern|Transit",Practical,5,260,58,85,FALSE,"English|Spanish",30,85,"2026-08-13T11:00Z|2026-08-15T09:00Z","Transition to freelancing with short timeline goals."
a41,Maya Cohen,"Relationship|Compatibility|Marriage","Composite|Vedic",Empathetic,14,1600,85,95,TRUE,"English|Hebrew",80,200,"2026-08-10T09:00Z|2026-08-12T15:00Z","In-depth compatibility with action points for couples."
a42,Igor Petrov,"Career|Industry Change","Transit|Western",Analytical,9,730,72,90,FALSE,"English|Russian",50,140,"2026-08-11T13:00Z|2026-08-13T09:00Z","Tactical steps for moving between industries with timing."
a43,Lina Alvarez,"Finance|Personal Finance","Transit|Modern",Analytical,8,480,68,88,FALSE,"English|Spanish",45,120,"2026-08-12T12:00Z|2026-08-14T11:00Z","Budgeting windows and longer-term saving timing."
a44,Noah Williams,"Career|Resume & Interview","Practical|Western",Practical,3,140,52,84,FALSE,English,25,70,"2026-08-15T10:00Z|2026-08-16T09:00Z","Resume framing tuned to natal strengths and timing."
a45,Anya Kuznetsova,"Timing|Wedding Planning","Vedic|Transit",Analytical,13,1190,80,93,TRUE,"English|Russian",70,170,"2026-08-10T10:00Z|2026-08-11T16:00Z","Wedding muhurta and event timing advice."
a46,Michael Turner,"Career|Executive Coaching","Modern|Transit",Strategic,17,3000,89,96,TRUE,English,120,350,"2026-08-09T09:00Z|2026-08-13T12:00Z","Executive transition strategy and timing for senior leaders."
a47,Sofia Petrova,"Relationship|Reconciliation","Therapeutic|Composite",Empathetic,8,560,69,88,FALSE,"English|Russian",50,130,"2026-08-13T09:00Z|2026-08-14T10:00Z","Guided reconciliation with communication strategies."
a48,Chen Wei,"Timing|Investment Cycles","Financial|Transit",Analytical,10,880,76,92,TRUE,"English|Mandarin",65,160,"2026-08-11T09:00Z|2026-08-12T11:00Z","Macro timing for investment windows with transit overlays."
a49,Kate O'Connor,"Career|Startups|Hiring","Modern|Transit",Strategic,7,540,65,87,FALSE,"English",55,150,"2026-08-12T14:00Z|2026-08-14T10:00Z","Hiring timelines and launch-phase advice for founders."
a50,Simone Ricci,"Spiritual|Practice|Remedies","Vedic|Remedies",Traditional,20,4100,91,98,TRUE,"English|Italian",130,350,"2026-08-10T08:00Z|2026-08-12T09:00Z","Deep remedial plans tailored to natal chart and daily practice."
